25,26,1.799
19,26,0.537
9,26,-0.292
43,26,-1.853
0,26,0.043
19,586,0.344
34,586,-0.534
10,586,-0.744
35,586,-0.455
0,1134,0.47
14,967,0.256
10,967,-0.49
5,1291,-0.177
36,1291,1.559
24,1291,-0.105
8,1291,1.526
35,1291,0.19
36,1403,0.082
26,1403,0.323
35,1403,0.05
42,879,-1.017
34,879,0.263
38,879,-0.006
33,1022,-0.993
33,1022,-0.993
30,1022,-0.41
30,1022,-0.41
16,1022,0.029
16,1022,0.029
9,1112,-1.232
32,1112,-0.752
30,1112,-0.884
25,1112,-1.06
35,1112,-0.958
36,791,-2.348
12,791,-2.539
25,791,-2.503
28,791,-0.511
36,303,2.99
26,303,0.997
28,303,-0.241
16,303,-0.633
34,303,2.187
19,797,1.203
0,797,-1.024
5,797,0.664
15,797,0.476
21,797,-0.718
9,681,2.081
43,681,-0.422
5,681,0.992
28,681,-0.477
15,681,3.562
7,681,2.173
29,681,-2.875
21,681,0.045
20,934,-1.692
33,934,0.337
36,934,0.63
23,934,0.487
19,934,-0.094
38,934,0.119
7,934,0.843
20,348,0.184
9,348,0.628
34,348,2.324
15,348,1.469
10,348,-0.121
27,234,0.437
30,234,-1.243
16,234,-0.04
8,234,1.196
5,234,-0.336
7,234,-0.007
28,1366,-1.767
23,1366,3.218
11,1366,-0.092
7,1366,1.371
5,246,-0.099
34,246,-0.14
15,246,0.217
33,663,1.261
19,663,1.048
26,663,-1.068
32,663,-0.705
17,663,-0.937
10,663,-0.699
14,1425,-0.949
36,1425,1.223
26,1425,0.113
9,1425,1.175
25,1425,1.49
7,1425,0.99
29,1425,0.435
10,1425,-0.463
35,1425,0.49
7,476,1.795
27,476,0.02
13,188,0.12
20,188,0.282
6,188,-0.059
26,1281,-0.549
25,1281,-0.967
38,1281,0.416
17,1281,-0.094
28,1281,0.73
27,430,-2.061
16,430,-0.56
7,1120,-1.176
15,1148,1.045
20,1148,-1.145
38,1148,0.302
19,1331,-0.345
9,1331,-0.091
7,1331,-1.476
0,706,1.121
33,706,-0.089
27,706,0.025
20,706,0.813
14,1372,-0.323
42,1372,-0.429
28,1372,0.387
5,588,0.463
13,588,0.736
12,588,0.262
17,588,0.724
25,866,-0.201
14,866,0.133
16,866,3.055
5,865,1.296
33,865,0.09
32,865,-0.725
30,372,0.234
16,372,-0.611
8,372,0.484
35,372,1.068
33,563,0.943
27,563,0.713
27,970,-1.19
11,970,0.349
43,970,-0.189
13,471,-1.249
28,471,0.649
21,471,-1.094
5,330,-0.814
11,330,-0.652
21,330,0.132
25,331,0.239
23,331,-1.017
19,331,0.704
0,331,0.158
43,736,-2.618
27,736,0.131
36,736,1.011
20,736,0.511
17,736,1.825
10,736,-0.183
21,736,0.414
10,893,0.011
27,893,0.428
26,893,0.165
29,893,0.942
30,708,-0.674
33,708,1.449
